 1 13  8  9 10  9 10  8  7 13 12  7
 1  6  7  8  7  6  8 10  7  4  6  5
 1  2  4  3  5  3  5  5  8  5  6  3
 1 10 12 12  9 12 11  9  9 14 12 15
 1 11 11 12 11 13 12 11 12 13 11  8
 1 12 10  8  9  8  6  6 11  9 10  8
 1 10  9 10 10  8 10 10  8 10 12  8
 1 12 10 14  7  8 13 14  7 14 12 15
 1  7  9  7 11  9 10  9 10 12 11 15
 1  8  8  8  8  9 10 11 11 10 10  6
 1  6 14  6  7  6  6  9  7 12 11 10
 1 10  6  7  5  9  9  9 11  9  9  5
 1  9 12  7  9  7  9 11  5 12  6 12
 1 10 17 12 11  9 10 14 17 15 15 10
 1  8 10  6  6  5  8  9  9 10 12  9
 1  5  9  5  7  9  7 11  8  8  6  7
 1 12  9 11 11  9 14 14 12  9 10 10
 1  7  7  6  9  9  9 11  8 10  8  7
 1 10 12  8 11  6  9 11 15 11 10 11
 1  9  9  9 12 12 16 11 13 10  7 13
 1 12  9 12 12 12 15 10 12 12 10  9
 1  8 14  9  8 12  9 11 11 12  9 12
 1 11 14 13 17 12 18 17  8 16 15 16
 1  6 12  7  7  7  8  6  9  8 13 13
 1  7 12  6 10  7  6 10  7  9  6 14
 1  7 13  8 10 11  8 11  9 11 11  9
 1  9 10  9  7  9 13 10 13  8 13  8
 1  6  6  6  7  7  7 11  7  9  7  7
 1  7 13 10 10  6  6  8  7  9 10 10
 1  4  9  6  7  7  5 14  8 11 14 13
 1  7  8  6  9  9  7  9  8 10  8  9
 1 10 13 10 10  9  9 17 12 13 10 10
 1 10 10 13 11 10 13 11 10 10 11 14
 1  9 11  5 10  6  6 11 10 14 10  8
 1  9  9 10 12 10 12  7 11 13 12 12
 1 12 11  9 11 10 13  9 15 11 11 10
 1 11 15 12 13 13 10 17 13 14 13 17
 1  9 12 10 10 11 10 11  8 14 11 10
 1  4 12  6  9  8  9  9  6 11 11  7
 1  9  5  7  6  6  5  9  8 10  6 10
 1 11 13  6 11  8  9  9  7 12 10  6
 1  8  8  6  8  9  6  9 13  9 12  8
 1  6  7  5  8  6  9 10  4  7 11  8
 1  5  9  6  5  9  8  8  6  7 11  6
 1  8 11  7  9  8  9  6  9  8  8  7
 1 10  6 10 11  8 12 12 15 15 12 10
 1 10  7  7 10 10  7 10 11  7  9  8
 1  9 12  8  6 11 14 11 15 12 14  8
 1  7  7  8  9  7  7  6 11 12 15 11
 1  6 10  5 10  6  7  8  7 10 13  7
 1 12 10 11 10 10  8 14  9 12 10 11
 1  5 10  5  8  6  5  5  8  6  6  8
 1 10  6  8  6  6  9  7  7  6  5  7
 1 10 16 10 11 11 12 11  9 14 13 10
 1  6 10  7  8  6  7 14  9 11 10  7
 1 14 11 10 12 13 13 11 11 12 14 10
 1  6  8  8  7 11  9 12  9  9  9  6
 1  5 10  6  7  6  6 11 12  9 12  6
 1 10 10  6  7  8  8 11 12 10  9  6
 1 11 11 10 11 11 12 14 12 12 12 14
 1 11 10 10 12 10 16  7 11 14 11 11
 1  7  6  6  7  7  8  7  8  7  7  6
 1 11 14 10 12  9 10 11 11 11 12 14
 1  7  8  9  7  6  7  9 11  6  7 10
 1  9 10  8 11  7  8  8 10  9  7  8
 1  8  6  8  7  6  8  7  6  7  9  7
 1  9 10  9 11  8  9 10  8 10 12 10
 1 12 10 10 10 10 10  9 12 12 12 13
 1  6  7  5  7  5  6  9  8 12  9  6
 1  7  7  5  6  5  7 10  9  9  6  8
 1  3 12  4  7  4  6  9  7 10 10  7
 1 16 13 12 13 14 14 10 12 11  7  9
 1 11  9  9 11  8 15 12 11  9 10 13
 1 12 13 12 15 13 14 12  9 11  9 16
 1 10  6 10  7 10 10 10  8 12 12  7
 1 11  7 10 11  9 12 11  7  8  6 10
 1  7  9  8 10  7  7 12  5 10 11  9
 1  9  6  8  7 10 10 10 10  9 12 10
 1  2  5  4  4  4  4  5  7  7  5  4
 1  7  9  8  7 11 10 11 11  8 10  9
 1  6  9  6  7  8  5  7  9  6  8 10
 1  6  4  7  7 10  8 11 11 12  9 10
 1  7  6  7  8  6  6  7  6  6  6 16
 1 11  8 10 10  9 12 14  8 10 13  7
 1  7  9  6  9  6  6  8  8 11  7  9
 1 12 13 12 10 11 12  7  7  8 10 14
 1  6  6  5  7  7  8 12  6  9  6  7
 1  8  9  5  8  6  7 10  9  9 11 12
 1  6  9  5 10  6  8  6  5  7  5  6
 1 16 12 14 12 10 14 11 13 12 11 12
 1  6  6  5  8  6  5  8  6  9  7  3
 1  7  9  7  7  8  7  9  7  6  9  8
 1  8 10  7  8  8  7 10  8  7  6  7
 1  6 13  5  7  4  6 10 11  9  6 12
 1  4  3  4  5  5  6 11  8  7 12  6
 1  3  2  2  2  4  5  4  5  3  1  4
 1  3 10  6  7  4  3 10 11  6  9  8
 1  3  6  5  7  7  5  7 10 10  9  5
 1  3  6  4  5  3  4  6  6  5  5  5
 1  8 11  6 10  7  9 10 12  7  9  8
 1 11 11  8  6  9 10 11  8  7 10  8
 1 11 12 11 11 15  9 11 13 10 12 14
 1  8  7  8 11  7  9  9 10 12  7 14
 1 12  8 11 10 13 13 14  7 10  7 11
 1 12 10 13 13 10 10 11 11 17 15 11
 1  9 12  8  7 10 12  9  6 11  7 10
 1 10 16 10 10 10 11  6  8  9  7  7
 1 12 16 12  8 14  6 12 10 10  6  7
 1 11 12 10 12 11 13 11 12 14 11 11
 1  8  9  6  8 11 10 10  7  9 10  9
 1  9  8  7 10 11  9 10  8  9  9 13
 1  8 12 10 11  8 15 10  7 14  8 13
 1 11 12 12 12  9 11  9  9  8  8  9
 1 12 11  8 13 11 12  9 11 11 10 12
 1  6  8  8 11 11 10  7 11 10  5  8
 1 11 12 12 15 13  9 11 12 16 14 12
 1 10  9  8 11  9 11 10 12 10 11 13
 1  5 11  6  8  8  8  7  8 10  9 11
 1  7  8  7  8  7  9 10  7 11 12  8
 1 13 13 12 10 11 14 14  8 10 10  9
 1  9 13  9 13 13  9 10  8 14 14 13
 1 11  8 11 11 13 12 11 13 13  7 12
 1  8 10  7 11  7 10  9 11 15 12  9
 1 11 11 10  9 11 11 11 11 11 12  8
 1 10  8  9  8  7 10 10 12 13 12 11
 1 10 12  7  9  7  9 10 13  8  9  7
 1 10  6  9  8 10 12  8 10  7  6  6
 1  9  9  8 10  9  8  8  8  9 10  9
 1 10  6  9  9  9 10  7  8  9  7  8
 1  5  8  8  7  2  5 10  9  9  3  8
 1  8 10  8 10  7 12  7  8 11  8  9
 1  7  6  6  7  5  9 10 11  7  9  7
 1  6  9  5  4  5  8  5  6  5  5  5
 1 15 10 12 11 10 10 12 12 11 10 11
 1  6 10  6 11  8  6 10 17  7  6 11
 1 12  7 10 10 11 12  9 11 12 10  8
 1  7  9  7  6  8  7 10  9 11  8  9
 1  6  7  7 11 10  7  9 10  9  7  8
 1 10 10  8  7  7  7  7  8  8  4  8
